source,series,ticker,event_ticker,title,yes_bid,yes_ask,last_price,volume,open_interest,close_time,status,scraped_at
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-XSCH,KXPGATOP5-BMC26,BMW Championship: Will Xander Schauffele finish top 5?,0.2300,0.2400,0.2400,453.43,453.43,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324842+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-WKIM,KXPGATOP5-BMC26,BMW Championship: Will Si Woo Kim finish top 5?,0.1900,0.2000,0.2000,966.89,966.89,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324863+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-WCLA,KXPGATOP5-BMC26,BMW Championship: Will Wyndham Clark finish top 5?,0.1200,0.1500,0.1500,3116.36,3116.36,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324868+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-VHOV,KXPGATOP5-BMC26,BMW Championship: Will Viktor Hovland finish top 5?,0.1400,0.1600,0.1600,722.66,722.66,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324871+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-TKIM,KXPGATOP5-BMC26,BMW Championship: Will Tom Kim finish top 5?,0.1000,0.1100,0.1100,310.50,310.50,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324873+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-TFLE,KXPGATOP5-BMC26,BMW Championship: Will Tommy Fleetwood finish top 5?,0.2000,0.2200,0.2300,874.48,874.48,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324876+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-STHE,KXPGATOP5-BMC26,BMW Championship: Will Sahith Theegala finish top 5?,0.0300,0.0400,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324879+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-SSTR,KXPGATOP5-BMC26,BMW Championship: Will Sepp Straka finish top 5?,0.0300,0.0400,0.0400,58.79,58.79,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324881+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-SSCH,KXPGATOP5-BMC26,BMW Championship: Will Scottie Scheffler finish top 5?,0.5600,0.5900,0.5900,9500.67,9460.85,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324883+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-SIM,KXPGATOP5-BMC26,BMW Championship: Will Sungjae Im finish top 5?,0.0700,0.0800,0.0800,1540.71,1540.71,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324886+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-SBUR,KXPGATOP5-BMC26,BMW Championship: Will Sam Burns finish top 5?,0.1900,0.2200,0.2200,1413.13,1413.13,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324888+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-RMCI,KXPGATOP5-BMC26,BMW Championship: Will Rory McIlroy finish top 5?,0.2300,0.2400,0.2400,479.83,479.83,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324891+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-RMAC,KXPGATOP5-BMC26,BMW Championship: Will Robert MacIntyre finish top 5?,0.0700,0.0800,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324894+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-RHIS,KXPGATOP5-BMC26,BMW Championship: Will Ryo Hisatsune finish top 5?,0.0300,0.0400,0.0400,5.00,5.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324902+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-RHEN,KXPGATOP5-BMC26,BMW Championship: Will Russell Henley finish top 5?,0.0900,0.1100,0.1100,171.21,171.21,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324905+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-RGER,KXPGATOP5-BMC26,BMW Championship: Will Ryan Gerard finish top 5?,0.1000,0.1100,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324908+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-RFOX,KXPGATOP5-BMC26,BMW Championship: Will Ryan Fox finish top 5?,0.0400,0.0600,0.0500,1058.00,1058.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324911+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-RFOW,KXPGATOP5-BMC26,BMW Championship: Will Rickie Fowler finish top 5?,0.0600,0.0800,0.0700,1119.28,1119.28,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324914+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-PCAN,KXPGATOP5-BMC26,BMW Championship: Will Patrick Cantlay finish top 5?,0.1400,0.1500,0.1700,72.00,72.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324916+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-NHOJ,KXPGATOP5-BMC26,BMW Championship: Will Nicolai Hojgaard finish top 5?,0.0800,0.0900,0.1000,49.24,49.24,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324919+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-NECH,KXPGATOP5-BMC26,BMW Championship: Will Nicolas Echavarria finish top 5?,0.0300,0.0400,0.0400,5.00,5.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324922+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-MTHO,KXPGATOP5-BMC26,BMW Championship: Will Michael Thorbjornsen finish top 5?,0.1000,0.1300,0.1300,174.00,174.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324924+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-MMCN,KXPGATOP5-BMC26,BMW Championship: Will Maverick McNealy finish top 5?,0.1000,0.1100,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324927+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-MMCC,KXPGATOP5-BMC26,BMW Championship: Will Matthew McCarty finish top 5?,0.0300,0.0400,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324932+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-MLEE,KXPGATOP5-BMC26,BMW Championship: Will Min Woo Lee finish top 5?,0.1100,0.1200,0.1300,36.61,36.61,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324935+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-MFIT,KXPGATOP5-BMC26,BMW Championship: Will Matt Fitzpatrick finish top 5?,0.1900,0.2000,0.2000,142.00,142.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324938+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-MBRE,KXPGATOP5-BMC26,BMW Championship: Will Michael Brennan finish top 5?,0.0800,0.1000,0.0900,5.00,5.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324941+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-LABE,KXPGATOP5-BMC26,BMW Championship: Will Ludvig Aberg finish top 5?,0.2400,0.2500,0.2500,934.56,934.56,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324944+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-KREI,KXPGATOP5-BMC26,BMW Championship: Will Kristoffer Reitan finish top 5?,0.0600,0.0700,0.1000,493.06,493.06,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324946+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-KKIT,KXPGATOP5-BMC26,BMW Championship: Will Kurt Kitayama finish top 5?,0.1000,0.1200,0.1100,36.51,36.51,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324949+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-JTHO,KXPGATOP5-BMC26,BMW Championship: Will Justin Thomas finish top 5?,0.1300,0.1400,0.1400,139.74,139.74,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324951+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-JSPA,KXPGATOP5-BMC26,BMW Championship: Will J.J. Spaun finish top 5?,0.0900,0.1100,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324954+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-JROS,KXPGATOP5-BMC26,BMW Championship: Will Justin Rose finish top 5?,0.0700,0.0800,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324956+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-JPOS,KXPGATOP5-BMC26,BMW Championship: Will J.T. Poston finish top 5?,0.0300,0.0400,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324961+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-JKNA,KXPGATOP5-BMC26,BMW Championship: Will Jake Knapp finish top 5?,0.1200,0.1300,0.1300,137.49,137.49,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324964+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-JBRI,KXPGATOP5-BMC26,BMW Championship: Will Jacob Bridgeman finish top 5?,0.0600,0.0700,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324966+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-HMAT,KXPGATOP5-BMC26,BMW Championship: Will Hideki Matsuyama finish top 5?,0.1500,0.1600,0.1600,2273.08,2273.08,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324969+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-GWOO,KXPGATOP5-BMC26,BMW Championship: Will Gary Woodland finish top 5?,0.0400,0.0500,0.0600,1.00,1.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324972+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-ECOL,KXPGATOP5-BMC26,BMW Championship: Will Eric Cole finish top 5?,0.0300,0.0500,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324974+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-CMOR,KXPGATOP5-BMC26,BMW Championship: Will Collin Morikawa finish top 5?,0.1300,0.1400,0.1500,60.00,60.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324977+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-CGOT,KXPGATOP5-BMC26,BMW Championship: Will Chris Gotterup finish top 5?,0.1600,0.1900,0.1900,207.00,207.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324979+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-CAME,KXPGATOP5-BMC26,BMW Championship: Will Cameron Young finish top 5?,0.2100,0.2200,0.2200,701.03,701.03,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324982+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-BGRI,KXPGATOP5-BMC26,BMW Championship: Will Ben Griffin finish top 5?,0.0900,0.1000,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324985+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-BCAU,KXPGATOP5-BMC26,BMW Championship: Will Bud Cauley finish top 5?,0.0600,0.0700,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324989+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-ASMA,KXPGATOP5-BMC26,BMW Championship: Will Alex Smalley finish top 5?,0.0700,0.0800,0.1000,100.00,100.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324994+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-ASCO,KXPGATOP5-BMC26,BMW Championship: Will Adam Scott finish top 5?,0.0700,0.0800,0.0800,261.12,261.12,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324996+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-ARAI,KXPGATOP5-BMC26,BMW Championship: Will Aaron Rai finish top 5?,0.0300,0.0500,0.0400,45.38,35.69,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.324999+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-ANOR,KXPGATOP5-BMC26,BMW Championship: Will Alex Noren finish top 5?,0.0600,0.0700,0.0700,687.75,687.75,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.325001+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-AFIT,KXPGATOP5-BMC26,BMW Championship: Will Alex Fitzpatrick finish top 5?,0.0600,0.0700,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.325004+00:00
Kalshi,KXPGATOP5,KXPGATOP5-BMC26-ABHA,KXPGATOP5-BMC26,BMW Championship: Will Akshay Bhatia finish top 5?,0.0300,0.0500,0.0000,0.00,0.00,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.325006+00:00
Kalshi,KXPGATOP10,KXPGATOP10-BMC26-XSCH,KXPGATOP10-BMC26,BMW Championship: Will Xander Schauffele finish top 10?,0.4000,0.4100,0.4200,2496.76,2496.76,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.570445+00:00
Kalshi,KXPGATOP10,KXPGATOP10-BMC26-WKIM,KXPGATOP10-BMC26,BMW Championship: Will Si Woo Kim finish top 10?,0.3400,0.3600,0.3600,4430.94,4401.94,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.570460+00:00
Kalshi,KXPGATOP10,KXPGATOP10-BMC26-WCLA,KXPGATOP10-BMC26,BMW Championship: Will Wyndham Clark finish top 10?,0.2400,0.2800,0.2800,1734.82,1734.82,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.570463+00:00
Kalshi,KXPGATOP10,KXPGATOP10-BMC26-VHOV,KXPGATOP10-BMC26,BMW Championship: Will Viktor Hovland finish top 10?,0.2900,0.3000,0.3000,1250.71,1250.71,2026-09-20T00:00:00Z,active,2026-08-18T15:35:51.570466+00:00
