source,series,ticker,event_ticker,title,yes_bid,yes_ask,last_price,volume,open_interest,close_time,status,scraped_at
Kalshi,KXPGAH2H,KXPGAH2H-BMC26R1MMCCMMCN-MMCN,KXPGAH2H-BMC26R1MMCCMMCN,Will Maverick McNealy beat Matthew McCarty in the 1st round of the BMW Championship?,0.5900,0.6000,0.6100,1716.90,1013.17,2026-09-03T18:55:00Z,active,2026-08-20T14:07:56.477646+00:00
Kalshi,KXPGAH2H,KXPGAH2H-BMC26R1MMCCMMCN-MMCC,KXPGAH2H-BMC26R1MMCCMMCN,Will Matthew McCarty beat Maverick McNealy in the 1st round of the BMW Championship?,0.3800,0.3900,0.4000,355.72,355.72,2026-09-03T18:55:00Z,active,2026-08-20T14:07:56.477660+00:00
Kalshi,KXPGAH2H,KXPGAH2H-BMC26R1RHENJBRI-RHEN,KXPGAH2H-BMC26R1RHENJBRI,Will Russell Henley beat Jacob Bridgeman in the 1st round of the BMW Championship?,0.5400,0.5500,0.5500,2883.44,2883.44,2026-09-03T18:44:00Z,active,2026-08-20T14:07:56.477664+00:00
Kalshi,KXPGAH2H,KXPGAH2H-BMC26R1RHENJBRI-JBRI,KXPGAH2H-BMC26R1RHENJBRI,Will Jacob Bridgeman beat Russell Henley in the 1st round of the BMW Championship?,0.4300,0.4400,0.4600,333.58,333.58,2026-09-03T18:44:00Z,active,2026-08-20T14:07:56.477667+00:00
Kalshi,KXPGAH2H,KXPGAH2H-BMC26R1SSCHMFIT-SSCH,KXPGAH2H-BMC26R1SSCHMFIT,Will Scottie Scheffler beat Matt Fitzpatrick in the 1st round of the BMW Championship?,0.6300,0.6400,0.6400,8968.95,8968.95,2026-09-03T18:33:00Z,active,2026-08-20T14:07:56.477670+00:00
Kalshi,KXPGAH2H,KXPGAH2H-BMC26R1SSCHMFIT-MFIT,KXPGAH2H-BMC26R1SSCHMFIT,Will Matt Fitzpatrick beat Scottie Scheffler in the 1st round of the BMW Championship?,0.3500,0.3600,0.3600,7787.35,7785.35,2026-09-03T18:33:00Z,active,2026-08-20T14:07:56.477673+00:00
Kalshi,KXPGAH2H,KXPGAH2H-BMC26R1TFLECGOT-TFLE,KXPGAH2H-BMC26R1TFLECGOT,Will Tommy Fleetwood beat Chris Gotterup in the 1st round of the BMW Championship?,0.5100,0.5400,0.5400,15500.05,15166.71,2026-09-03T18:22:00Z,active,2026-08-20T14:07:56.477675+00:00
Kalshi,KXPGAH2H,KXPGAH2H-BMC26R1TFLECGOT-CGOT,KXPGAH2H-BMC26R1TFLECGOT,Will Chris Gotterup beat Tommy Fleetwood in the 1st round of the BMW Championship?,0.4700,0.4800,0.4800,3176.72,3128.83,2026-09-03T18:22:00Z,active,2026-08-20T14:07:56.477678+00:00
Kalshi,KXPGAH2H,KXPGAH2H-BMC26R1MLEERGER-RGER,KXPGAH2H-BMC26R1MLEERGER,Will Ryan Gerard beat Min Woo Lee in the 1st round of the BMW Championship?,0.5000,0.5100,0.5200,2780.62,2780.62,2026-09-03T18:11:00Z,active,2026-08-20T14:07:56.477680+00:00
Kalshi,KXPGAH2H,KXPGAH2H-BMC26R1MLEERGER-MLEE,KXPGAH2H-BMC26R1MLEERGER,Will Min Woo Lee beat Ryan Gerard in the 1st round of the BMW Championship?,0.4800,0.4900,0.4900,766.35,720.35,2026-09-03T18:11:00Z,active,2026-08-20T14:07:56.477683+00:00
