source,series,ticker,event_ticker,title,yes_bid,yes_ask,last_price,volume,open_interest,close_time,status,scraped_at
Kalshi,KXPGAMAKECUT,KXPGAMAKECUT-BICA26-PYRI,KXPGAMAKECUT-BICA26,Phillip Yribarren makes the cut,0.0200,0.0600,0.0600,78.18,78.18,2026-10-04T00:00:00Z,active,2026-09-15T19:44:55.170679+00:00
Kalshi,KXPGAMAKECUT,KXPGAMAKECUT-BICA26-SOXE,KXPGAMAKECUT-BICA26,Spencer Oxendine makes the cut,0.1100,0.2000,0.0000,0.00,0.00,2026-10-04T00:00:00Z,active,2026-09-15T19:44:55.170695+00:00
Kalshi,KXPGAMAKECUT,KXPGAMAKECUT-BICA26-KHAR,KXPGAMAKECUT-BICA26,Keller Harper makes the cut,0.0900,0.1800,0.0000,0.00,0.00,2026-10-04T00:00:00Z,active,2026-09-15T19:44:55.170699+00:00
Kalshi,KXPGAMAKECUT,KXPGAMAKECUT-BICA26-ADUN,KXPGAMAKECUT-BICA26,Austin Duncan makes the cut,0.2300,0.3300,0.0000,0.00,0.00,2026-10-04T00:00:00Z,active,2026-09-15T19:44:55.170702+00:00
Kalshi,KXPGAMAKECUT,KXPGAMAKECUT-BICA26-ZDOU,KXPGAMAKECUT-BICA26,Zecheng Dou makes the cut,0.6000,0.6700,0.0000,0.00,0.00,2026-10-18T00:00:00Z,active,2026-09-15T19:44:55.170705+00:00
Kalshi,KXPGAMAKECUT,KXPGAMAKECUT-BICA26-ZBLA,KXPGAMAKECUT-BICA26,Zac Blair makes the cut,0.6100,0.6800,0.0000,0.00,0.00,2026-10-18T00:00:00Z,active,2026-09-15T19:44:55.170707+00:00
Kalshi,KXPGAMAKECUT,KXPGAMAKECUT-BICA26-ZBAU,KXPGAMAKECUT-BICA26,Zachary Bauchou makes the cut,0.6400,0.7000,0.0000,0.00,0.00,2026-10-18T00:00:00Z,active,2026-09-15T19:44:55.170710+00:00
Kalshi,KXPGAMAKECUT,KXPGAMAKECUT-BICA26-WSIM,KXPGAMAKECUT-BICA26,Webb Simpson makes the cut,0.4700,0.5500,0.0000,0.00,0.00,2026-10-18T00:00:00Z,active,2026-09-15T19:44:55.170712+00:00
Kalshi,KXPGAMAKECUT,KXPGAMAKECUT-BICA26-WMOU,KXPGAMAKECUT-BICA26,William Mouw makes the cut,0.5900,0.6500,0.0000,0.00,0.00,2026-10-18T00:00:00Z,active,2026-09-15T19:44:55.170722+00:00
Kalshi,KXPGAMAKECUT,KXPGAMAKECUT-BICA26-WGOR,KXPGAMAKECUT-BICA26,Will Gordon makes the cut,0.4100,0.4900,0.0000,0.00,0.00,2026-10-18T00:00:00Z,active,2026-09-15T19:44:55.170725+00:00
