source,series,ticker,event_ticker,title,yes_bid,yes_ask,last_price,volume,open_interest,close_time,status,scraped_at
Kalshi,KXPGAROUNDSCORE,KXPGAROUNDSCORE-BMC26R3-WCLA67,KXPGAROUNDSCORE-BMC26R3,Will Wyndham Clark shoot under 67.5 in Round 3?,0.9300,0.9700,0.9500,26481.25,24451.40,2026-09-07T02:00:00Z,active,2026-08-22T20:46:05.357562+00:00
Kalshi,KXPGAROUNDSCORE,KXPGAROUNDSCORE-BMC26R3-VHOV67,KXPGAROUNDSCORE-BMC26R3,Will Viktor Hovland shoot under 67.5 in Round 3?,0.0000,0.0400,0.0500,5358.94,5298.66,2026-09-07T02:00:00Z,active,2026-08-22T20:46:05.357582+00:00
Kalshi,KXPGAROUNDSCORE,KXPGAROUNDSCORE-BMC26R3-SIM68,KXPGAROUNDSCORE-BMC26R3,Will Sungjae Im shoot under 68.5 in Round 3?,0.0800,0.7400,0.1200,13034.35,11213.47,2026-09-07T02:00:00Z,active,2026-08-22T20:46:05.357585+00:00
Kalshi,KXPGAROUNDSCORE,KXPGAROUNDSCORE-BMC26R3-RMCI67,KXPGAROUNDSCORE-BMC26R3,Will Rory McIlroy shoot under 67.5 in Round 3?,0.8300,0.9700,0.9500,31241.36,26733.73,2026-09-07T02:00:00Z,active,2026-08-22T20:46:05.357587+00:00
Kalshi,KXPGAROUNDSCORE,KXPGAROUNDSCORE-BMC26R3-RHEN68,KXPGAROUNDSCORE-BMC26R3,Will Russell Henley shoot under 68.5 in Round 3?,0.0300,0.0900,0.0500,3456.45,3445.55,2026-09-07T02:00:00Z,active,2026-08-22T20:46:05.357590+00:00
Kalshi,KXPGAROUNDSCORE,KXPGAROUNDSCORE-BMC26R3-PCAN67,KXPGAROUNDSCORE-BMC26R3,Will Patrick Cantlay shoot under 67.5 in Round 3?,0.4900,0.8800,0.3500,4732.81,4354.92,2026-09-07T02:00:00Z,active,2026-08-22T20:46:05.357592+00:00
Kalshi,KXPGAROUNDSCORE,KXPGAROUNDSCORE-BMC26R3-MTHO68,KXPGAROUNDSCORE-BMC26R3,Will Michael Thorbjornsen shoot under 68.5 in Round 3?,0.0000,0.0400,0.0300,10792.05,10395.05,2026-09-07T02:00:00Z,active,2026-08-22T20:46:05.357594+00:00
Kalshi,KXPGAROUNDSCORE,KXPGAROUNDSCORE-BMC26R3-MMCN69,KXPGAROUNDSCORE-BMC26R3,Will Maverick McNealy shoot under 69.5 in Round 3?,0.2600,0.3700,0.3700,2460.71,2337.72,2026-09-07T02:00:00Z,active,2026-08-22T20:46:05.357596+00:00
Kalshi,KXPGAROUNDSCORE,KXPGAROUNDSCORE-BMC26R3-KREI68,KXPGAROUNDSCORE-BMC26R3,Will Kristoffer Reitan shoot under 68.5 in Round 3?,0.0000,0.0400,0.0100,370.04,367.04,2026-09-07T02:00:00Z,active,2026-08-22T20:46:05.357597+00:00
Kalshi,KXPGAROUNDSCORE,KXPGAROUNDSCORE-BMC26R3-JSPA68,KXPGAROUNDSCORE-BMC26R3,Will J.J. Spaun shoot under 68.5 in Round 3?,0.0300,0.0500,0.0500,26498.25,22253.88,2026-09-07T02:00:00Z,active,2026-08-22T20:46:05.357599+00:00
Kalshi,KXPGAROUNDSCORE,KXPGAROUNDSCORE-BMC26R3-GWOO69,KXPGAROUNDSCORE-BMC26R3,Will Gary Woodland shoot under 69.5 in Round 3?,0.1200,0.1300,0.1200,35087.34,34155.16,2026-09-07T02:00:00Z,active,2026-08-22T20:46:05.357602+00:00
Kalshi,KXPGAROUNDSCORE,KXPGAROUNDSCORE-BMC26R3-CMOR67,KXPGAROUNDSCORE-BMC26R3,Will Collin Morikawa shoot under 67.5 in Round 3?,0.8500,0.9100,0.8500,6944.66,6662.39,2026-09-07T02:00:00Z,active,2026-08-22T20:46:05.357604+00:00
Kalshi,KXPGAROUNDSCORE,KXPGAROUNDSCORE-BMC26R3-CGOT67,KXPGAROUNDSCORE-BMC26R3,Will Chris Gotterup shoot under 67.5 in Round 3?,0.0300,0.6200,0.0300,18553.10,15780.32,2026-09-07T02:00:00Z,active,2026-08-22T20:46:05.357607+00:00
