source,series,ticker,event_ticker,title,yes_bid,yes_ask,last_price,volume,open_interest,close_time,status,scraped_at
Kalshi,KXPGATOP20,KXPGATOP20-TOC26-XSCH,KXPGATOP20-TOC26,Xander Schauffele finishes top 20,0.5900,0.6300,0.6200,4807.25,3918.90,2026-09-27T00:00:00Z,active,2026-08-29T04:14:21.063061+00:00
Kalshi,KXPGATOP20,KXPGATOP20-TOC26-WKIM,KXPGATOP20-TOC26,Si Woo Kim finishes top 20,0.6000,0.6100,0.5900,6659.96,6172.96,2026-09-27T00:00:00Z,active,2026-08-29T04:14:21.063070+00:00
Kalshi,KXPGATOP20,KXPGATOP20-TOC26-WCLA,KXPGATOP20-TOC26,Wyndham Clark finishes top 20,0.7100,0.7300,0.7300,11181.82,10387.82,2026-09-27T00:00:00Z,active,2026-08-29T04:14:21.063073+00:00
Kalshi,KXPGATOP20,KXPGATOP20-TOC26-VHOV,KXPGATOP20-TOC26,Viktor Hovland finishes top 20,0.9700,0.9800,0.9800,8669.33,8148.21,2026-09-27T00:00:00Z,active,2026-08-29T04:14:21.063076+00:00
Kalshi,KXPGATOP20,KXPGATOP20-TOC26-TKIM,KXPGATOP20-TOC26,Tom Kim finishes top 20,0.7300,0.7500,0.7500,6577.70,5465.59,2026-09-27T00:00:00Z,active,2026-08-29T04:14:21.063079+00:00
Kalshi,KXPGATOP20,KXPGATOP20-TOC26-TFLE,KXPGATOP20-TOC26,Tommy Fleetwood finishes top 20,0.7100,0.7400,0.7400,12751.99,11869.99,2026-09-27T00:00:00Z,active,2026-08-29T04:14:21.063081+00:00
Kalshi,KXPGATOP20,KXPGATOP20-TOC26-SSCH,KXPGATOP20-TOC26,Scottie Scheffler finishes top 20,0.9600,0.9900,0.9800,51388.90,48207.11,2026-09-27T00:00:00Z,active,2026-08-29T04:14:21.063087+00:00
Kalshi,KXPGATOP20,KXPGATOP20-TOC26-SBUR,KXPGATOP20-TOC26,Sam Burns finishes top 20,0.8600,0.8700,0.8700,8284.36,7757.66,2026-09-27T00:00:00Z,active,2026-08-29T04:14:21.063090+00:00
Kalshi,KXPGATOP20,KXPGATOP20-TOC26-RMCI,KXPGATOP20-TOC26,Rory McIlroy finishes top 20,0.7200,0.7400,0.7400,7234.97,4584.51,2026-09-27T00:00:00Z,active,2026-08-29T04:14:21.063092+00:00
Kalshi,KXPGATOP20,KXPGATOP20-TOC26-RMAC,KXPGATOP20-TOC26,Robert MacIntyre finishes top 20,0.0300,0.0600,0.0600,31906.02,24762.96,2026-09-27T00:00:00Z,active,2026-08-29T04:14:21.063095+00:00
